Time Since Start (in seconds),Participant ID,Trial Number,Condition Number,Head Position x,Head Position y,Head Position z
26.38648,12,1,1,2.049333,1.114655,-1.673338,26.38648

26.39763,12,1,1,2.049323,1.114662,-1.673345,26.39763

26.40869,12,1,1,2.049321,1.114663,-1.673352,26.40869

26.41983,12,1,1,2.04936,1.114754,-1.673386,26.41983

26.43098,12,1,1,2.049345,1.114758,-1.6734,26.43098

26.44197,12,1,1,2.049337,1.114761,-1.673357,26.44197

26.45346,12,1,1,2.049269,1.114662,-1.673345,26.45346

26.46418,12,1,1,2.049346,1.114681,-1.673356,26.46418

26.47537,12,1,1,2.049375,1.114703,-1.673268,26.47537

26.48644,12,1,1,2.049362,1.114734,-1.67329,26.48644

26.49752,12,1,1,2.049311,1.114711,-1.673271,26.49752

26.50875,12,1,1,2.049313,1.114695,-1.673297,26.50875

26.51971,12,1,1,2.049407,1.114774,-1.673263,26.51971

26.53101,12,1,1,2.049407,1.114771,-1.673261,26.53101

26.54197,12,1,1,2.04946,1.114753,-1.67331,26.54197

26.55303,12,1,1,2.049559,1.114688,-1.67327,26.55303

26.56421,12,1,1,2.049555,1.114677,-1.673253,26.56421

26.57525,12,1,1,2.049583,1.114686,-1.673256,26.57525

26.58642,12,1,1,2.049618,1.114746,-1.673269,26.58642

26.5975,12,1,1,2.049616,1.114733,-1.673229,26.5975

26.60867,12,1,1,2.049569,1.114769,-1.67322,26.60867

26.61981,12,1,1,2.049423,1.114734,-1.673341,26.61981

26.63099,12,1,1,2.049385,1.114717,-1.673312,26.63099

26.64203,12,1,1,2.049391,1.114752,-1.67318,26.64203

26.6531,12,1,1,2.049325,1.114787,-1.673087,26.6531

26.6642,12,1,1,2.049221,1.114805,-1.673223,26.6642

26.67527,12,1,1,2.049037,1.114852,-1.673144,26.67527

26.68629,12,1,1,2.048884,1.11484,-1.673181,26.68629

26.69749,12,1,1,2.048584,1.114833,-1.672975,26.69749

26.70858,12,1,1,2.048191,1.114898,-1.672739,26.70858

26.71964,12,1,1,2.047599,1.114804,-1.672441,26.71964

26.73075,12,1,1,2.04689,1.114824,-1.672018,26.73075

26.74188,12,1,1,2.045947,1.114817,-1.671417,26.74188

26.75307,12,1,1,2.044742,1.114904,-1.670749,26.75307

26.76408,12,1,1,2.043408,1.114861,-1.669982,26.76408

26.77518,12,1,1,2.042005,1.115053,-1.669233,26.77518

26.78626,12,1,1,2.040377,1.115328,-1.668341,26.78626

26.79737,12,1,1,2.038776,1.115652,-1.666946,26.79737

26.80853,12,1,1,2.036957,1.115944,-1.66515,26.80853

26.81966,12,1,1,2.035095,1.116087,-1.663611,26.81966

26.83086,12,1,1,2.032695,1.116038,-1.661984,26.83086

26.84214,12,1,1,2.030125,1.115864,-1.660226,26.84214

26.85307,12,1,1,2.027396,1.115304,-1.658118,26.85307

26.86418,12,1,1,2.024273,1.11478,-1.655958,26.86418

26.87571,12,1,1,2.020896,1.113898,-1.653323,26.87571

26.88622,12,1,1,2.017383,1.113167,-1.650632,26.88622

26.89738,12,1,1,2.013291,1.114801,-1.648335,26.89738

26.90859,12,1,1,2.010837,1.112836,-1.646095,26.90859

26.91973,12,1,1,2.00629,1.113619,-1.642176,26.91973

26.93077,12,1,1,2.002166,1.113486,-1.639152,26.93077

26.94196,12,1,1,1.997942,1.113169,-1.636089,26.94196

26.95294,12,1,1,1.993457,1.112762,-1.632909,26.95294

26.96399,12,1,1,1.988732,1.112518,-1.629398,26.96399

26.97517,12,1,1,1.983765,1.112134,-1.625839,26.97517

26.98621,12,1,1,1.978654,1.111806,-1.6221,26.98621

26.99723,12,1,1,1.97338,1.111654,-1.617906,26.99723

27.00844,12,1,1,1.968076,1.111262,-1.613704,27.00844

27.01946,12,1,1,1.962454,1.111327,-1.609178,27.01946

27.03072,12,1,1,1.956844,1.11178,-1.604281,27.03072

27.0418,12,1,1,1.954375,1.107944,-1.60184,27.0418

27.05282,12,1,1,1.949132,1.112422,-1.59712,27.05282

27.06394,12,1,1,1.943002,1.115097,-1.590201,27.06394

27.07521,12,1,1,1.939322,1.114662,-1.586115,27.07521

27.0862,12,1,1,1.936296,1.115305,-1.584019,27.0862

27.09721,12,1,1,1.933345,1.115954,-1.58277,27.09721

27.1084,12,1,1,1.929385,1.118679,-1.580228,27.1084

27.1195,12,1,1,1.926459,1.121871,-1.580568,27.1195

27.13062,12,1,1,1.924098,1.123338,-1.579414,27.13062

27.1417,12,1,1,1.921444,1.125812,-1.576076,27.1417

27.15285,12,1,1,1.919071,1.129377,-1.57509,27.15285

27.16388,12,1,1,1.916992,1.131162,-1.57241,27.16388

27.17504,12,1,1,1.914362,1.133602,-1.568545,27.17504

27.18607,12,1,1,1.912023,1.137512,-1.566553,27.18607

27.19757,12,1,1,1.909858,1.139614,-1.562834,27.19757

27.20839,12,1,1,1.907485,1.142041,-1.558406,27.20839

27.2194,12,1,1,1.905563,1.147001,-1.555837,27.2194

27.23062,12,1,1,1.903427,1.149111,-1.551519,27.23062

27.24167,12,1,1,1.90118,1.151238,-1.546852,27.24167

27.25283,12,1,1,1.899229,1.154716,-1.543182,27.25283

27.26382,12,1,1,1.897139,1.156453,-1.538229,27.26382

27.27497,12,1,1,1.895091,1.158326,-1.533028,27.27497

27.28612,12,1,1,1.893199,1.159973,-1.527565,27.28612

27.29721,12,1,1,1.891209,1.16274,-1.522627,27.29721

27.30853,12,1,1,1.889141,1.164494,-1.516717,27.30853

27.31933,12,1,1,1.887403,1.166929,-1.511048,27.31933

27.33046,12,1,1,1.885529,1.168656,-1.50464,27.33046

27.34159,12,1,1,1.883609,1.170295,-1.498159,27.34159

27.35267,12,1,1,1.881808,1.172587,-1.491739,27.35267

27.36386,12,1,1,1.879891,1.174347,-1.484862,27.36386

27.37488,12,1,1,1.877725,1.175911,-1.477869,27.37488

27.38603,12,1,1,1.875976,1.177641,-1.470739,27.38603

27.39732,12,1,1,1.873857,1.179022,-1.463516,27.39732

27.4084,12,1,1,1.872227,1.18014,-1.456494,27.4084

27.41943,12,1,1,1.870933,1.181131,-1.44942,27.41943

27.433,12,1,1,1.869947,1.182097,-1.443107,27.433

27.44166,12,1,1,1.868675,1.182576,-1.43708,27.44166

27.45274,12,1,1,1.868038,1.183106,-1.431444,27.45274

27.46375,12,1,1,1.867374,1.183564,-1.426028,27.46375

27.47486,12,1,1,1.866833,1.183608,-1.42088,27.47486

27.48604,12,1,1,1.866408,1.183921,-1.415492,27.48604

27.49726,12,1,1,1.865784,1.184033,-1.410147,27.49726

27.50854,12,1,1,1.865269,1.184035,-1.405151,27.50854

27.51932,12,1,1,1.864573,1.184074,-1.399911,27.51932

27.5305,12,1,1,1.863833,1.18367,-1.394259,27.5305

27.54173,12,1,1,1.863088,1.18324,-1.388818,27.54173

27.55281,12,1,1,1.862266,1.18314,-1.383274,27.55281

27.56378,12,1,1,1.861173,1.182796,-1.377376,27.56378

27.57507,12,1,1,1.860055,1.182346,-1.371817,27.57507

27.58631,12,1,1,1.859033,1.181997,-1.366075,27.58631

27.5971,12,1,1,1.857828,1.181379,-1.359941,27.5971

27.60835,12,1,1,1.856756,1.181104,-1.354346,27.60835

27.61927,12,1,1,1.855678,1.181061,-1.348797,27.61927

27.63043,12,1,1,1.854765,1.180755,-1.343342,27.63043

27.64176,12,1,1,1.853922,1.180712,-1.338586,27.64176

27.65274,12,1,1,1.853419,1.181015,-1.33406,27.65274

27.66368,12,1,1,1.853041,1.181294,-1.329517,27.66368

27.67484,12,1,1,1.852983,1.181829,-1.325262,27.67484

27.68593,12,1,1,1.852939,1.182678,-1.320974,27.68593

27.69717,12,1,1,1.852984,1.183415,-1.316375,27.69717

27.70824,12,1,1,1.852997,1.184411,-1.312064,27.70824

27.7193,12,1,1,1.853164,1.185355,-1.308164,27.7193

27.73034,12,1,1,1.853379,1.1862,-1.303769,27.73034

27.74147,12,1,1,1.853681,1.187465,-1.299494,27.74147

27.7526,12,1,1,1.854202,1.188662,-1.295117,27.7526

27.7636,12,1,1,1.854469,1.189839,-1.290329,27.7636

27.77475,12,1,1,1.854612,1.191237,-1.28559,27.77475

27.78577,12,1,1,1.854963,1.192764,-1.280635,27.78577

27.79691,12,1,1,1.855243,1.194268,-1.275688,27.79691

27.808,12,1,1,1.855494,1.195734,-1.270658,27.808

27.81909,12,1,1,1.855896,1.197276,-1.265542,27.81909

27.83039,12,1,1,1.856358,1.198639,-1.260527,27.83039

27.84143,12,1,1,1.856795,1.199961,-1.255667,27.84143

27.8526,12,1,1,1.857547,1.20135,-1.250589,27.8526

27.86377,12,1,1,1.858379,1.2027,-1.245964,27.86377

27.87469,12,1,1,1.859028,1.203919,-1.241303,27.87469

27.88575,12,1,1,1.8603,1.205178,-1.236698,27.88575

27.89685,12,1,1,1.861304,1.206501,-1.232429,27.89685

27.90804,12,1,1,1.862114,1.207664,-1.228214,27.90804

27.91909,12,1,1,1.863314,1.208823,-1.22376,27.91909

27.93018,12,1,1,1.864353,1.209796,-1.219614,27.93018

27.9415,12,1,1,1.865113,1.210696,-1.215566,27.9415

27.95245,12,1,1,1.866163,1.211533,-1.211371,27.95245

27.96345,12,1,1,1.867004,1.212147,-1.207377,27.96345

27.97468,12,1,1,1.867485,1.212688,-1.203349,27.97468

27.98573,12,1,1,1.868117,1.213239,-1.199394,27.98573

27.99681,12,1,1,1.868633,1.2135,-1.195458,27.99681

28.00796,12,1,1,1.868889,1.213679,-1.19157,28.00796

28.01903,12,1,1,1.869309,1.213812,-1.187786,28.01903

28.0302,12,1,1,1.869474,1.213582,-1.183805,28.0302

28.04127,12,1,1,1.869498,1.213343,-1.180107,28.04127

28.05237,12,1,1,1.869605,1.213095,-1.176381,28.05237

28.06353,12,1,1,1.869629,1.212673,-1.17254,28.06353

28.07454,12,1,1,1.86958,1.212316,-1.168802,28.07454

28.08583,12,1,1,1.869811,1.211828,-1.165275,28.08583

28.09688,12,1,1,1.869879,1.211459,-1.161534,28.09688

28.10799,12,1,1,1.869915,1.211292,-1.157969,28.10799

28.11902,12,1,1,1.870191,1.211118,-1.154629,28.11902

28.13045,12,1,1,1.870494,1.210841,-1.151153,28.13045

28.14125,12,1,1,1.870795,1.210506,-1.147967,28.14125

28.15229,12,1,1,1.871222,1.210393,-1.144812,28.15229

28.16345,12,1,1,1.871705,1.210174,-1.141454,28.16345

28.17451,12,1,1,1.872154,1.210061,-1.138375,28.17451

28.18563,12,1,1,1.872746,1.210139,-1.135262,28.18563

28.19676,12,1,1,1.873264,1.210133,-1.132073,28.19676

28.20789,12,1,1,1.87405,1.21011,-1.129251,28.20789

28.219,12,1,1,1.874903,1.210315,-1.126284,28.219

28.23017,12,1,1,1.87558,1.210107,-1.123111,28.23017

28.24117,12,1,1,1.876442,1.209982,-1.120352,28.24117

28.25254,12,1,1,1.877317,1.210083,-1.117495,28.25254

28.26364,12,1,1,1.877981,1.210094,-1.114583,28.26364

28.27446,12,1,1,1.878734,1.21024,-1.111811,28.27446

28.28557,12,1,1,1.879469,1.210479,-1.108883,28.28557

28.2967,12,1,1,1.879963,1.210686,-1.10592,28.2967

28.30784,12,1,1,1.880704,1.211012,-1.103103,28.30784

28.31883,12,1,1,1.881613,1.211366,-1.10026,28.31883

28.33003,12,1,1,1.882382,1.211733,-1.097503,28.33003

28.34119,12,1,1,1.883158,1.212044,-1.094698,28.34119

28.35227,12,1,1,1.884046,1.212365,-1.091768,28.35227

28.36331,12,1,1,1.884614,1.212624,-1.089001,28.36331

28.37451,12,1,1,1.885227,1.21283,-1.086264,28.37451

28.38551,12,1,1,1.885728,1.213021,-1.08349,28.38551

28.39664,12,1,1,1.886087,1.213078,-1.080651,28.39664

28.40773,12,1,1,1.886561,1.213171,-1.077976,28.40773

28.41889,12,1,1,1.886998,1.213189,-1.075279,28.41889

28.43003,12,1,1,1.887263,1.213239,-1.072643,28.43003

28.44142,12,1,1,1.887593,1.213121,-1.070058,28.44142

28.4523,12,1,1,1.887955,1.213067,-1.067366,28.4523

28.4633,12,1,1,1.888069,1.212934,-1.064863,28.4633

28.47442,12,1,1,1.888196,1.212683,-1.062351,28.47442

28.48545,12,1,1,1.888273,1.212463,-1.059799,28.48545

28.49666,12,1,1,1.888185,1.212233,-1.057229,28.49666

28.50781,12,1,1,1.888211,1.211937,-1.054754,28.50781

28.51883,12,1,1,1.888338,1.211697,-1.052219,28.51883

28.53002,12,1,1,1.888481,1.211222,-1.049596,28.53002

28.54114,12,1,1,1.888753,1.210866,-1.047181,28.54114

28.55222,12,1,1,1.889087,1.210613,-1.044741,28.55222

28.5635,12,1,1,1.889414,1.210411,-1.042325,28.5635

28.5744,12,1,1,1.889802,1.210106,-1.040004,28.5744

28.58549,12,1,1,1.89019,1.209872,-1.037512,28.58549

28.59672,12,1,1,1.890558,1.209738,-1.035035,28.59672

28.60786,12,1,1,1.891024,1.20952,-1.032651,28.60786

28.61878,12,1,1,1.891516,1.209382,-1.030171,28.61878

28.63025,12,1,1,1.892005,1.209255,-1.027773,28.63025

28.641,12,1,1,1.892576,1.208988,-1.025394,28.641

28.65232,12,1,1,1.893257,1.208789,-1.022933,28.65232

28.66332,12,1,1,1.893775,1.208477,-1.020502,28.66332

28.67435,12,1,1,1.89424,1.208227,-1.018176,28.67435

28.68548,12,1,1,1.894771,1.207944,-1.015685,28.68548

28.69656,12,1,1,1.89511,1.207741,-1.013446,28.69656

28.70765,12,1,1,1.895252,1.207491,-1.011214,28.70765

28.71871,12,1,1,1.895547,1.207247,-1.00901,28.71871

28.72983,12,1,1,1.895604,1.206936,-1.006991,28.72983

28.74095,12,1,1,1.895646,1.206646,-1.005164,28.74095

28.75204,12,1,1,1.895712,1.206378,-1.003437,28.75204

28.76316,12,1,1,1.895521,1.206055,-1.001726,28.76316

28.77426,12,1,1,1.895315,1.205581,-1.000391,28.77426

28.78537,12,1,1,1.895031,1.205226,-0.9990215,28.78537

28.79645,12,1,1,1.89449,1.20479,-0.9978572,28.79645

28.80756,12,1,1,1.893907,1.204497,-0.9967879,28.80756

28.81867,12,1,1,1.893348,1.204171,-0.9959371,28.81867

28.82993,12,1,1,1.892703,1.203773,-0.9952291,28.82993

28.84109,12,1,1,1.892068,1.203258,-0.9948914,28.84109

28.85202,12,1,1,1.891415,1.202661,-0.9945693,28.85202

28.86328,12,1,1,1.890766,1.202266,-0.9945365,28.86328

28.87438,12,1,1,1.890343,1.201727,-0.9948416,28.87438

28.88527,12,1,1,1.889925,1.201204,-0.9952019,28.88527

28.89642,12,1,1,1.88935,1.200672,-0.9958622,28.89642

28.90755,12,1,1,1.888626,1.20024,-0.9965469,28.90755

28.91863,12,1,1,1.887966,1.199869,-0.9973683,28.91863

28.92974,12,1,1,1.887113,1.199548,-0.9983883,28.92974

28.9409,12,1,1,1.886386,1.199226,-0.9996109,28.9409

28.9519,12,1,1,1.885811,1.198817,-1.000962,28.9519

28.96306,12,1,1,1.885274,1.198251,-1.002372,28.96306

28.97416,12,1,1,1.884961,1.197718,-1.004135,28.97416

28.98524,12,1,1,1.884797,1.197211,-1.005947,28.98524

28.99652,12,1,1,1.884579,1.196632,-1.008128,28.99652

29.00747,12,1,1,1.884386,1.196009,-1.010358,29.00747

29.01857,12,1,1,1.884192,1.195185,-1.012831,29.01857

29.02985,12,1,1,1.883916,1.194219,-1.015238,29.02985

29.0407,12,1,1,1.883841,1.193331,-1.01787,29.0407

29.05192,12,1,1,1.883884,1.192463,-1.020565,29.05192

29.06306,12,1,1,1.883924,1.191525,-1.023413,29.06306

29.07408,12,1,1,1.883977,1.190743,-1.02655,29.07408

29.0852,12,1,1,1.884035,1.190034,-1.029593,29.0852

29.09637,12,1,1,1.883995,1.189198,-1.032767,29.09637

29.10746,12,1,1,1.883966,1.188511,-1.036056,29.10746

29.11861,12,1,1,1.883837,1.187547,-1.039422,29.11861

29.12962,12,1,1,1.883687,1.186789,-1.042856,29.12962

29.14075,12,1,1,1.883387,1.186066,-1.046368,29.14075

29.1519,12,1,1,1.88294,1.185386,-1.049939,29.1519

29.16291,12,1,1,1.882393,1.184522,-1.053374,29.16291

29.17403,12,1,1,1.881814,1.183762,-1.057,29.17403

29.18549,12,1,1,1.88082,1.183034,-1.060529,29.18549

29.19623,12,1,1,1.879902,1.182555,-1.063948,29.19623

29.20734,12,1,1,1.878726,1.182165,-1.067343,29.20734

29.21848,12,1,1,1.877341,1.181815,-1.070735,29.21848

29.2297,12,1,1,1.875999,1.181709,-1.074056,29.2297

29.24068,12,1,1,1.874383,1.181842,-1.07732,29.24068

29.25184,12,1,1,1.872629,1.181923,-1.080598,29.25184

29.26294,12,1,1,1.870944,1.181986,-1.083641,29.26294

29.274,12,1,1,1.86916,1.182281,-1.086629,29.274

29.2851,12,1,1,1.867234,1.182623,-1.089604,29.2851

29.29621,12,1,1,1.865548,1.183101,-1.092509,29.29621

29.30741,12,1,1,1.863647,1.183689,-1.095243,29.30741

29.31843,12,1,1,1.861549,1.184349,-1.098082,29.31843

29.32954,12,1,1,1.859551,1.185221,-1.100652,29.32954

29.34063,12,1,1,1.857399,1.186189,-1.103007,29.34063

29.35173,12,1,1,1.854819,1.187124,-1.105483,29.35173

29.36285,12,1,1,1.852545,1.187868,-1.107476,29.36285

29.37393,12,1,1,1.850089,1.188875,-1.109328,29.37393

29.38506,12,1,1,1.847546,1.189795,-1.111393,29.38506

29.39619,12,1,1,1.845039,1.190572,-1.113145,29.39619

29.40727,12,1,1,1.842447,1.191431,-1.114728,29.40727

29.41839,12,1,1,1.839789,1.192183,-1.11632,29.41839

29.42968,12,1,1,1.837145,1.192659,-1.117585,29.42968

29.44061,12,1,1,1.834369,1.193266,-1.118621,29.44061

29.45168,12,1,1,1.831327,1.193592,-1.119844,29.45168

29.46284,12,1,1,1.828343,1.194086,-1.120984,29.46284

29.47391,12,1,1,1.825101,1.194661,-1.121842,29.47391

29.48501,12,1,1,1.821839,1.195128,-1.122783,29.48501

29.49609,12,1,1,1.818459,1.19548,-1.123542,29.49609

29.50727,12,1,1,1.815031,1.195713,-1.124262,29.50727

29.5183,12,1,1,1.81139,1.195691,-1.124826,29.5183

29.52947,12,1,1,1.807709,1.195521,-1.125297,29.52947

29.54052,12,1,1,1.804022,1.195233,-1.125621,29.54052

29.5517,12,1,1,1.800196,1.194759,-1.125823,29.5517

29.56275,12,1,1,1.796299,1.194347,-1.126058,29.56275

29.57388,12,1,1,1.792379,1.193787,-1.126262,29.57388

29.58501,12,1,1,1.788262,1.193213,-1.126342,29.58501

29.59607,12,1,1,1.784274,1.192719,-1.126417,29.59607

29.6072,12,1,1,1.780294,1.192203,-1.126525,29.6072

29.6185,12,1,1,1.776229,1.191561,-1.126671,29.6185

29.6295,12,1,1,1.77238,1.190943,-1.126906,29.6295

29.64365,12,1,1,1.76857,1.190338,-1.127139,29.64365

29.65173,12,1,1,1.764646,1.189661,-1.127402,29.65173

29.66287,12,1,1,1.7609,1.189019,-1.127691,29.66287

29.67389,12,1,1,1.757147,1.188376,-1.127917,29.67389

29.68493,12,1,1,1.753419,1.187712,-1.128139,29.68493

29.6961,12,1,1,1.749718,1.187112,-1.128324,29.6961

29.70723,12,1,1,1.746146,1.186532,-1.128534,29.70723

29.71836,12,1,1,1.742553,1.185966,-1.128768,29.71836

29.72941,12,1,1,1.739001,1.185337,-1.128831,29.72941

29.74056,12,1,1,1.735601,1.184913,-1.129,29.74056

29.75158,12,1,1,1.732209,1.184548,-1.129161,29.75158

29.76264,12,1,1,1.729013,1.184215,-1.129083,29.76264

29.77386,12,1,1,1.725898,1.183994,-1.128955,29.77386

29.78492,12,1,1,1.722759,1.183859,-1.128902,29.78492

29.796,12,1,1,1.719805,1.183571,-1.128627,29.796

29.80708,12,1,1,1.717037,1.183464,-1.128456,29.80708

29.81813,12,1,1,1.714186,1.183407,-1.128338,29.81813

29.82942,12,1,1,1.711594,1.183314,-1.127966,29.82942

29.84049,12,1,1,1.709106,1.183334,-1.127609,29.84049

29.85158,12,1,1,1.706678,1.183337,-1.12726,29.85158

29.86267,12,1,1,1.704572,1.183394,-1.126882,29.86267

29.8737,12,1,1,1.702456,1.18346,-1.126435,29.8737

29.88479,12,1,1,1.700502,1.183552,-1.126026,29.88479

29.89595,12,1,1,1.698724,1.18368,-1.125617,29.89595

29.90703,12,1,1,1.697065,1.183832,-1.125087,29.90703

29.91816,12,1,1,1.69545,1.183919,-1.124659,29.91816

29.92958,12,1,1,1.694057,1.183989,-1.124137,29.92958

29.94038,12,1,1,1.692652,1.184049,-1.123574,29.94038

29.9515,12,1,1,1.691357,1.183939,-1.123163,29.9515

29.96265,12,1,1,1.690106,1.183707,-1.122625,29.96265

29.97374,12,1,1,1.688848,1.18351,-1.122079,29.97374

29.985,12,1,1,1.687696,1.183258,-1.121531,29.985

29.99588,12,1,1,1.686478,1.183148,-1.120881,29.99588

30.00712,12,1,1,1.685253,1.183056,-1.119909,30.00712

30.01804,12,1,1,1.684075,1.182935,-1.118955,30.01804

30.02933,12,1,1,1.682769,1.182926,-1.118014,30.02933

30.04034,12,1,1,1.681402,1.182851,-1.117002,30.04034

30.05147,12,1,1,1.680172,1.182836,-1.116278,30.05147

30.06262,12,1,1,1.678844,1.18259,-1.115351,30.06262

30.07363,12,1,1,1.677734,1.182229,-1.114483,30.07363

30.08488,12,1,1,1.676592,1.18193,-1.113654,30.08488

30.0959,12,1,1,1.675449,1.181824,-1.11299,30.0959

30.10706,12,1,1,1.674247,1.181668,-1.112268,30.10706

30.11839,12,1,1,1.6731,1.181691,-1.111634,30.11839

30.12916,12,1,1,1.671887,1.181751,-1.110959,30.12916

30.14033,12,1,1,1.670699,1.181979,-1.110402,30.14033

30.1514,12,1,1,1.669423,1.182144,-1.11012,30.1514

30.16248,12,1,1,1.668182,1.182328,-1.109971,30.16248

30.17356,12,1,1,1.667179,1.182477,-1.110071,30.17356

30.1847,12,1,1,1.666325,1.18255,-1.110465,30.1847

